rank, kata, kemunculan, kata * kemunculan
1,di,1509,1509
2,yang,1463,2926
3,dan,1236,3708
4,itu,754,3016
5,2019,574,2870
6,untuk,552,3312
7,dari,473,3311
8,ini,458,3664
9,8,455,4095
10,dengan,434,4340
11,tidak,424,4664
12,dalam,365,4380
13,Papua,363,4719
14,ke,346,4844
15,kata,317,4755
16,tersebut,315,5040
17,ada,314,5338
18,akan,306,5508
19,juga,304,5776
20,Jakarta,295,5900
21,saat,275,5775
22,Jumat,265,5830
23,30,261,6003
24,pada,248,5952
25,sudah,246,6150
26,dia,229,5954
27,bisa,217,5859
28,masyarakat,205,5740
29,Jayapura,201,5829
30,mengatakan,194,5820
31,karena,182,5642
32,Kota,172,5504
33,kepada,171,5643
34,Kamis,166,5644
35,menjadi,163,5705
36,korban,162,5832
37,kota,161,5957
38,ujar,160,6080
39,orang,154,6006
40,melakukan,153,6120
41,29,150,6150
42,tahun,147,6174
43,Barat,147,6321
44,kita,143,6292
45,KPK,142,6390
46,pemerintah,135,6210
47,oleh,135,6345
48,baru,131,6288
49,masih,130,6370
50,warga,127,6350
51,Presiden,126,6426
52,ibu,124,6448
53,Jawa,122,6466
54,telah,120,6480
55,terjadi,120,6600
56,harus,118,6608
57,sebagai,115,6555
58,atau,112,6496
59,satu,111,6549
60,mahasiswa,110,6600
61,kami,110,6710
62,anak,110,6820
63,tak,109,6867
64,terhadap,107,6848
65,Namun,107,6955
66,aksi,106,6996
67,lalu,105,7035
68,pun,104,7072
69,adalah,104,7176
70,Indonesia,103,7210
71,dua,102,7242
72,saya,100,7200
73,rumah,100,7300
74,lebih,99,7326
75,DKI,97,7275
76,hingga,96,7296
77,hanya,94,7238
78,agar,92,7176
79,Rp,92,7268
80,Kabupaten,91,7280
81,Jokowi,90,7290
82,Kantor,90,7380
83,Kompas,90,7470
84,massa,89,7476
85,hari,89,7565
86,DPR,89,7654
87,mereka,89,7743
88,com,88,7744
89,Timur,88,7832
90,Jalan,88,7920
91,anggota,88,8008
92,dilakukan,86,7912
93,serta,86,7998
